Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
144,Shane Duffy,ie IRL,DFFW,Fulham,31-129,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-170,1991,33.0,27,17,18,7,2,20,32,22,10,31,58,76,0,282f75f3
146,Jhon Durán,co COL,FWMF,Aston Villa,19-148,2003,1.2,1,1,0,1,0,1,0,0,0,1,2,1,0,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-248,2003,0.4,1,1,1,0,0,1,2,0,2,0,1,0,0,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-266,1993,33.0,3,1,3,0,0,1,0,0,0,1,4,10,2,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-114,1998,18.0,24,13,7,12,5,4,16,5,11,3,27,22,0,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-102,2003,6.3,17,10,6,10,1,5,7,0,7,6,23,6,0,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-013,2002,4.7,3,0,0,2,1,1,4,0,4,2,5,4,0,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-036,2003,17.4,23,15,6,11,6,25,26,1,25,14,37,8,0,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-303,1992,1.3,1,1,1,0,0,0,0,0,0,0,1,0,0,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-279,1994,22.4,43,26,19,20,4,24,37,3,34,26,69,36,0,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-116,1999,16.5,44,28,30,11,3,13,17,3,14,14,58,63,0,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-085,1992,19.9,14,11,8,3,3,17,23,9,14,10,24,19,1,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-109,1998,25.2,53,26,31,16,6,20,29,7,22,36,89,30,1,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-127,1988,9.0,10,4,10,0,0,4,6,5,1,16,26,33,0,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-315,1998,26.3,39,23,16,17,6,19,22,0,22,11,50,10,0,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-022,1985,31.6,2,0,2,0,0,1,1,0,1,0,2,8,1,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-199,1993,27.2,58,35,18,34,6,34,33,11,22,33,91,35,0,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-037,1998,28.0,51,30,24,25,2,16,51,36,15,38,89,92,2,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-359,1989,13.9,37,20,24,13,0,14,29,11,18,31,68,77,0,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-181,1999,9.0,14,7,5,6,3,8,3,0,3,1,15,0,1,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-203,2004,7.2,6,3,1,3,2,4,9,1,8,2,8,4,0,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-244,1994,33.0,64,39,22,24,18,34,33,5,28,22,86,39,1,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-113,2001,13.2,38,24,22,14,2,31,26,2,24,13,51,12,0,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-220,1991,12.6,16,12,2,11,3,14,15,1,14,6,22,2,0,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-261,1996,13.9,42,22,23,14,5,22,21,7,14,20,62,39,0,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-347,2000,16.9,15,9,9,4,2,7,21,1,20,5,20,9,0,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-139,2002,0.7,2,1,0,1,1,0,1,0,1,0,2,0,0,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-144,2000,2.0,4,2,1,2,1,2,1,1,0,9,13,5,0,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-144,2000,10.6,28,18,18,6,4,10,13,6,7,19,47,31,0,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-077,1996,14.1,26,12,8,10,8,20,15,2,13,13,39,8,0,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-214,1991,3.1,5,3,1,4,0,6,3,0,3,2,7,2,0,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-054,1988,10.5,0,0,0,0,0,0,0,0,0,0,0,3,0,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-298,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-075,1994,3.5,2,2,0,0,2,3,3,1,2,0,2,3,0,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-066,1993,12.8,42,27,22,17,3,23,36,1,35,16,58,17,0,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-212,1992,5.9,3,2,2,0,1,3,7,2,5,1,4,27,0,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-025,1992,24.0,43,23,23,15,5,24,36,9,27,29,72,45,0,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,24-003,1999,13.8,17,10,3,9,5,18,9,1,8,4,21,1,0,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-093,2000,14.6,38,27,16,13,9,18,36,9,27,19,57,17,0,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-226,1989,26.1,86,49,44,31,11,27,48,12,36,52,138,32,3,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-313,2004,5.0,3,1,0,0,3,7,5,0,5,4,7,2,0,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-058,2001,6.1,12,10,2,7,3,8,6,0,6,10,22,6,0,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-184,1990,34.0,0,0,0,0,0,0,0,0,0,0,0,15,3,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,21-006,2002,2.4,6,2,1,3,2,2,5,0,5,0,6,4,0,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-246,1993,1.5,2,1,0,1,1,2,4,1,3,4,6,2,0,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-103,2000,2.0,3,1,3,0,0,1,2,0,2,1,4,3,0,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-103,2000,30.0,23,11,7,5,11,21,22,4,18,13,36,13,0,32f60ed8
